{'Dense_Out': {'bias': 0.04, 'kernel': 0.08}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 2.08, 'kernel': 1.37}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.4, 'kernel': 0.54}}}, 0.47879546880722046
{'Dense_Out': {'bias': 0.02, 'kernel': 0.03}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 4.13, 'kernel': 2.61}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.22, 'kernel': 0.31}}}, 0.31896543502807617
{'Dense_Out': {'bias': 0.01, 'kernel': 0.03}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 4.21, 'kernel': 2.44}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.24, 'kernel': 0.32}}}, 0.33501046895980835
{'Dense_Out': {'bias': 0.01, 'kernel': 0.03}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 2.04, 'kernel': 1.21}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.52, 'kernel': 0.7}}}, 0.4150450825691223
{'Dense_Out': {'bias': 0.03, 'kernel': 0.06}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.93, 'kernel': 0.72}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.42, 'kernel': 0.57}}}, 0.3654628396034241
{'Dense_Out': {'bias': 0.02, 'kernel': 0.04}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 1.77, 'kernel': 1.41}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.19, 'kernel': 0.27}}}, 0.3979838490486145
{'Dense_Out': {'bias': 0.02, 'kernel': 0.04}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 4.5, 'kernel': 3.47}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.14, 'kernel': 0.22}}}, 0.44079023599624634
{'Dense_Out': {'bias': 0.01, 'kernel': 0.03}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 3.06, 'kernel': 2.49}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.25, 'kernel': 0.34}}}, 0.3698260188102722
{'Dense_Out': {'bias': 0.02, 'kernel': 0.03}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 3.45, 'kernel': 2.0}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.25, 'kernel': 0.31}}}, 0.4070470631122589
{'Dense_Out': {'bias': 0.02, 'kernel': 0.05}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.65, 'kernel': 0.49}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.24, 'kernel': 0.34}}}, 0.3596605062484741
{'Dense_Out': {'bias': 0.02, 'kernel': 0.04}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 6.6, 'kernel': 4.19}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.27, 'kernel': 0.39}}}, 0.43392419815063477
